VIDEO_ID,VIDEO_THUMBNAIL_ID,VIDEO_TITLE,VIDEO_DESCRIPTION,VIDEO_CATEGORY,VIDEO_CREATED_AT,VIDEO_TOTAL_VIEWS,VIDEO_DURATION,USER_ID,CHANNEL_NAME,SUBSCRIBERS_COUNT,USER_PROFILE_PICTURE,VIDEO_FILE
XuQQTlqO1rPhUcAZOsKYi,aZGoVrRenDHzwK-OW9HbT,How To Prepare A Squash,Seed video for Cooking,Cooking,1651556885000,0,60,NnkysgsU0DalSpfy7VH-i,PierceH-iChannel,0,0R-cGV8uRpH2yMoHAPUqK,https://interns-major-app-2022.s3.ap-southeast-1.amazonaws.com/videos/cooking.mp4
Vk1Vej-QGdDQJMgOC1TWo,dDCSLCYChZ2MXdFRxhaVf,How To Prepare A Squash,Seed video for Cooking,Cooking,1651556885000,0,60,WBcgFpXVk8YemPOAi3j9B,Brownj9BChannel,0,3se0JHUypu1YD4D8GvcUG,https://interns-major-app-2022.s3.ap-southeast-1.amazonaws.com/videos/cooking.mp4
gLJeslxSw7yYUBgVHLmoE,g89TGiZStjQLO5Ue_Bogs,How To Prepare A Squash,Seed video for Cooking,Cooking,1651556885000,0,60,JU_s9whAu34q8v1ekrPbP,SmithPbPChannel,0,G2M3WILDB1bW8AjXol_k-,https://interns-major-app-2022.s3.ap-southeast-1.amazonaws.com/videos/cooking.mp4
2qoKeGd7nuieD0cIMIBsO,Knl3DJWUHBPbwxujC6r3Y,How To Prepare A Squash,Seed video for Cooking,Cooking,1651556885000,0,60,33GSA2sYIbBljuMx8Xg0z,Millerg0zChannel,0,Bbjwpgmie5Rt4HDyUTM1p,https://interns-major-app-2022.s3.ap-southeast-1.amazonaws.com/videos/cooking.mp4
-pa1MVC5X2Wdz5hhqMvue,4PVSSGmTlBu8mkezHfBno,How To Prepare A Squash,Seed video for Cooking,Cooking,1651556885000,0,60,tSieki4Q4qPDWt1uYLTiX,JonesTiXChannel,0,XTFBC91qbrfdftroY_DiP,https://interns-major-app-2022.s3.ap-southeast-1.amazonaws.com/videos/cooking.mp4
FmDx9z-rfaLiox3PmMaji,es6K-dds5Ij0SLpyWsv6t,How To Prepare A Squash,Seed video for Cooking,Cooking,1651556885000,0,60,RZuWh_A8YsnVTlCF5g57r,West57rChannel,0,ajf6K8Jyu1qXxBR2kdXM7,https://interns-major-app-2022.s3.ap-southeast-1.amazonaws.com/videos/cooking.mp4
lBdDdw7_O-aRtoBrnCbAn,gKPgtbDT9JdrhDzldjp5i,How To Prepare A Squash,Seed video for Cooking,Cooking,1651556885000,0,60,WBcgFpXVk8YemPOAi3j9B,Brownj9BChannel,0,3se0JHUypu1YD4D8GvcUG,https://interns-major-app-2022.s3.ap-southeast-1.amazonaws.com/videos/cooking.mp4
dOrD2x4fISJQW9kSJH4c7,Qqn4PbW8Jt9oAH2pKBqF1,How To Prepare A Squash,Seed video for Cooking,Cooking,1651556885000,0,60,NMegf_fGwwGvrqQ4PtwZ0,SmithwZ0Channel,0,f8rHLcXf4VSAGsagW4p8X,https://interns-major-app-2022.s3.ap-southeast-1.amazonaws.com/videos/cooking.mp4
ZKt00j5-kvwDuwU44mzzE,L6nykvH6ZxLGgIU5kWafA,How To Prepare A Squash,Seed video for Cooking,Cooking,1651556885000,0,60,tSieki4Q4qPDWt1uYLTiX,JonesTiXChannel,0,XTFBC91qbrfdftroY_DiP,https://interns-major-app-2022.s3.ap-southeast-1.amazonaws.com/videos/cooking.mp4
-VZr42KGCYHd3AA0W2EWI,he47erTefGwXxUCP9BnDa,How To Prepare A Squash,Seed video for Cooking,Cooking,1651556885000,0,60,fSzsfNpjQxp5c4HhAjaup,HaleaupChannel,0,nVXNmFIXyi0gauboD2wCg,https://interns-major-app-2022.s3.ap-southeast-1.amazonaws.com/videos/cooking.mp4
bZHBr0a_KP87D9PnIoj8z,bRH9z9ILrpGUlIMwHOV3M,How To Prepare A Squash,Seed video for Cooking,Cooking,1651556885000,0,60,-cDNTKvXqYoZEBF4GMq2q,Haleq2qChannel,0,O21MAdHegNz-YOQE-dm0k,https://interns-major-app-2022.s3.ap-southeast-1.amazonaws.com/videos/cooking.mp4
